Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,
346,345,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,13-Oct-22
347,346,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,12-Oct-22
348,347,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,10-Oct-22
349,348,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,09-Oct-22
350,349,Pune,Pune,Carrot,Other,FAQ,1500,4000,2750,07-Oct-22
351,350,Pune,Pune,Carrot,Other,FAQ,1500,4000,2750,05-Oct-22
352,351,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,04-Oct-22
353,352,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,03-Oct-22
354,353,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,02-Oct-22
355,354,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,30-Sep-22
356,355,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,29-Sep-22
357,356,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,28-Sep-22
358,357,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,25-Sep-22
359,358,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,23-Sep-22
360,359,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,22-Sep-22
361,360,Pune,Pune,Carrot,Other,FAQ,2000,3000,2500,20-Sep-22
362,361,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,19-Sep-22
363,362,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,18-Sep-22
364,363,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,15-Sep-22
365,364,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,13-Sep-22
366,365,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,11-Sep-22
367,366,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,09-Sep-22
368,367,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,08-Sep-22
369,368,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,07-Sep-22
370,369,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,05-Sep-22
371,370,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,04-Sep-22
372,371,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,02-Sep-22
373,372,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,31-Aug-22
374,373,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,30-Aug-22
375,374,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,28-Aug-22
376,375,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,26-Aug-22
377,376,Pune,Pune,Carrot,Other,FAQ,1500,3500,2500,25-Aug-22
378,377,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,24-Aug-22
379,378,Pune,Pune,Carrot,Other,FAQ,1500,4000,2750,23-Aug-22
380,379,Pune,Pune,Carrot,Other,FAQ,2000,3500,2750,22-Aug-22
381,380,Pune,Pune,Carrot,Other,FAQ,2000,4000,3000,21-Aug-22
382,381,Pune,Pune,Carrot,Other,FAQ,2000,3000,2500,19-Aug-22
383,382,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,18-Aug-22
384,383,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,17-Aug-22
385,384,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,16-Aug-22
386,385,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,14-Aug-22
387,386,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,12-Aug-22
388,387,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,11-Aug-22
389,388,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,10-Aug-22
390,389,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,09-Aug-22
391,390,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,08-Aug-22
392,391,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,07-Aug-22
393,392,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,05-Aug-22
394,393,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,04-Aug-22
395,394,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,03-Aug-22
396,395,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,02-Aug-22
397,396,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,31-Jul-22
398,397,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,29-Jul-22
399,398,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,28-Jul-22
400,399,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,27-Jul-22
401,400,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,26-Jul-22
402,401,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,25-Jul-22
403,402,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,24-Jul-22
404,403,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,22-Jul-22
405,404,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,21-Jul-22
406,405,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,20-Jul-22
407,406,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,19-Jul-22
408,407,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,18-Jul-22
409,408,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,17-Jul-22
410,409,Pune,Pune,Carrot,Other,FAQ,1500,2500,2000,15-Jul-22
411,410,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,14-Jul-22
412,411,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,13-Jul-22
413,412,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,12-Jul-22
414,413,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,11-Jul-22
415,414,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,10-Jul-22
416,415,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,08-Jul-22
417,416,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,07-Jul-22
418,417,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,06-Jul-22
419,418,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,05-Jul-22
420,419,Pune,Pune,Carrot,Other,FAQ,1500,3500,2250,04-Jul-22
421,420,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,03-Jul-22
422,421,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,01-Jul-22
423,422,Pune,Pune,Carrot,Other,FAQ,1500,2500,2000,30-Jun-22
424,423,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,29-Jun-22
425,424,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,28-Jun-22
426,425,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,27-Jun-22
427,426,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,26-Jun-22
428,427,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,24-Jun-22
429,428,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,23-Jun-22
430,429,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,22-Jun-22
431,430,Pune,Pune,Carrot,Other,FAQ,1200,3000,2100,21-Jun-22
432,431,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,20-Jun-22
433,432,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,19-Jun-22
434,433,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,17-Jun-22
435,434,Pune,Pune,Carrot,Other,FAQ,1500,3000,2250,15-Jun-22
436,435,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,14-Jun-22
437,436,Pune,Pune,Carrot,Other,FAQ,1000,3000,2000,13-Jun-22
438,437,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,12-Jun-22
439,438,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,10-Jun-22
440,439,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,09-Jun-22
441,440,Pune,Pune,Carrot,Other,FAQ,1200,2400,1800,08-Jun-22
442,441,Pune,Pune,Carrot,Other,FAQ,1500,2500,2000,07-Jun-22
443,442,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,05-Jun-22
444,443,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,02-Jun-22
445,444,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,01-Jun-22
446,445,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,31-May-22
447,446,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,30-May-22
448,447,Pune,Pune,Carrot,Other,FAQ,1000,2500,1750,29-May-22
449,448,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,27-May-22
450,449,Pune,Pune,Carrot,Other,FAQ,1000,3500,2750,26-May-22
451,450,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,25-May-22
452,451,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,24-May-22
453,452,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,23-May-22
454,453,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,22-May-22
455,454,Pune,Pune,Carrot,Other,FAQ,800,2000,1400,20-May-22
456,455,Pune,Pune,Carrot,Other,FAQ,800,2000,1400,19-May-22
457,456,Pune,Pune,Carrot,Other,FAQ,800,2000,1400,18-May-22
458,457,Pune,Pune,Carrot,Other,FAQ,800,2000,1400,17-May-22
459,458,Pune,Pune,Carrot,Other,FAQ,800,2200,1500,16-May-22
460,459,Pune,Pune,Carrot,Other,FAQ,800,2000,1400,15-May-22
461,460,Pune,Pune,Carrot,Other,FAQ,800,2500,1650,11-May-22
462,461,Pune,Pune,Carrot,Other,FAQ,700,2500,1600,10-May-22
463,462,Pune,Pune,Carrot,Other,FAQ,1000,2000,1500,09-May-22
